#time	robot_x	robot_y	robot_q
0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000
0.500000	0.441081	0.053285	0.120224
1.000000	0.859584	0.202441	0.342368
1.500000	1.234941	0.440137	0.564512
2.000000	1.548705	0.754691	0.786656
2.500000	1.785456	1.130645	1.008800
3.000000	1.933558	1.549522	1.230944
3.500000	1.985734	1.990736	1.453088
4.000000	1.939418	2.432603	1.675233
4.500000	1.796888	2.853409	1.897377
5.000000	1.565147	3.232471	2.119521
5.500000	1.255586	3.551162	2.341665
6.000000	0.883416	3.793818	2.563809
6.500000	0.466930	3.948515	2.785953
7.000000	0.026594	4.007649	3.008097
7.500000	-0.415949	3.968315	-3.052944
8.000000	-0.838952	3.832445	-2.830800
8.500000	-1.221626	3.606718	-2.608656
9.000000	-1.545164	3.302226	-2.386512
9.500000	-1.793666	2.933934	-2.164367
10.000000	-1.954918	2.519942	-1.942223
