#robot_x	robot_y	
#LWheel_x	LWheel_y	
#FWheel_x	FWheel_y	
#RWheel_x	RWheel_y	
#robot_x	robot_y

0.000000	0.000000
0.000000	0.375000
1.000000	0.000000
-0.000000	-0.375000
0.000000	0.000000

0.000000	0.000000
0.000000	0.375000
1.000000	0.000000
-0.000000	-0.375000
0.000000	0.000000

0.628319	0.000000
0.628319	0.375000
1.628319	0.000000
0.628319	-0.375000
0.628319	0.000000

1.256637	0.000000
1.256637	0.375000
2.256637	0.000000
1.256637	-0.375000
1.256637	0.000000

1.884956	0.000000
1.884956	0.375000
2.884956	0.000000
1.884956	-0.375000
1.884956	0.000000

2.513274	0.000000
2.513274	0.375000
3.513274	0.000000
2.513274	-0.375000
2.513274	0.000000

3.141593	0.000000
3.141593	0.375000
4.141593	0.000000
3.141593	-0.375000
3.141593	0.000000

3.769911	0.000000
3.769911	0.375000
4.769911	0.000000
3.769911	-0.375000
3.769911	0.000000

4.398230	0.000000
4.398230	0.375000
5.398230	0.000000
4.398230	-0.375000
4.398230	0.000000

5.026548	0.000000
5.026548	0.375000
6.026548	0.000000
5.026548	-0.375000
5.026548	0.000000

5.654867	0.000000
5.654867	0.375000
6.654867	0.000000
5.654867	-0.375000
5.654867	0.000000

6.283186	0.000000
6.283186	0.375000
7.283186	0.000000
6.283186	-0.375000
6.283186	0.000000

6.911505	0.000000
6.911505	0.375000
7.911505	0.000000
6.911505	-0.375000
6.911505	0.000000

7.539824	0.000000
7.539824	0.375000
8.539824	0.000000
7.539824	-0.375000
7.539824	0.000000

8.168142	0.000000
8.168142	0.375000
9.168142	0.000000
8.168142	-0.375000
8.168142	0.000000

8.796461	0.000000
8.796461	0.375000
9.796461	0.000000
8.796461	-0.375000
8.796461	0.000000

9.424780	0.000000
9.424780	0.375000
10.424780	0.000000
9.424780	-0.375000
9.424780	0.000000

10.053099	0.000000
10.053099	0.375000
11.053099	0.000000
10.053099	-0.375000
10.053099	0.000000

10.681417	0.000000
10.681417	0.375000
11.681417	0.000000
10.681417	-0.375000
10.681417	0.000000

11.309736	0.000000
11.309736	0.375000
12.309736	0.000000
11.309736	-0.375000
11.309736	0.000000

11.938055	0.000000
11.938055	0.375000
12.938055	0.000000
11.938055	-0.375000
11.938055	0.000000

12.566374	0.000000
12.566374	0.375000
13.566374	0.000000
12.566374	-0.375000
12.566374	0.000000

