#time	robot_x	robot_y	robot_q
28.400000	7.317803	0.031087	0.008221
28.600000	7.440518	0.032096	0.008221
28.799999	7.563232	0.033105	0.008221
29.000000	7.685947	0.034114	0.008221
29.200001	7.808661	0.035122	0.008221
29.400000	7.931376	0.036131	0.008221
29.600000	8.054090	0.037140	0.008221
29.799999	8.176805	0.038149	0.008221
30.000000	8.299519	0.039158	0.008221
30.200001	8.422233	0.040166	0.008221
30.400000	8.544947	0.041175	0.008221
30.600000	8.667661	0.042184	0.008221
30.799999	8.790375	0.043193	0.008221
31.000000	8.913089	0.044202	0.008221
31.200001	9.035803	0.045210	0.008221
31.400000	9.158517	0.046219	0.008221
31.600000	9.281231	0.047228	0.008221
31.799999	9.403945	0.048237	0.008221
32.000000	9.526659	0.049246	0.008221
