#time	robot_x	robot_y	robot_q
0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000
0.200000	0.122718	0.000000	0.000000
0.400000	0.245437	0.000000	0.000000
0.600000	0.368155	0.000000	0.000000
0.800000	0.490874	0.000000	0.000000
1.000000	0.613592	0.000000	0.000000
1.200000	0.736311	0.000000	0.000000
1.400000	0.859029	0.000000	0.000000
1.600000	0.981748	0.000000	0.000000
1.800000	1.104466	0.000000	0.000000
2.000000	1.227185	0.000000	0.000000
2.200000	1.288515	0.001882	0.030680
2.400000	1.349659	0.007019	0.083818
2.600000	1.410443	0.015397	0.136957
2.800000	1.470697	0.026991	0.190096
3.000000	1.530250	0.041768	0.243234
3.200000	1.588934	0.059689	0.296373
3.400000	1.646584	0.080700	0.349512
3.600000	1.703036	0.104745	0.402650
3.800000	1.758131	0.131753	0.455789
4.000000	1.811714	0.161650	0.508928
4.200000	1.863634	0.194350	0.562066
4.400000	1.913743	0.229762	0.615205
4.600000	1.961901	0.267786	0.668344
4.800000	2.007971	0.308313	0.721482
5.000000	2.051824	0.351231	0.774621
5.200000	2.093335	0.396417	0.827760
5.400000	2.132388	0.443744	0.880898
5.600000	2.168871	0.493078	0.934037
5.800000	2.202683	0.544281	0.987176
6.000000	2.233728	0.597207	1.040314
6.200000	2.261918	0.651708	1.093453
6.400000	2.287173	0.707628	1.146592
6.600000	2.309422	0.764812	1.199730
6.800000	2.328603	0.823096	1.252869
7.000000	2.344661	0.882317	1.306007
7.200000	2.357551	0.942307	1.359146
7.400000	2.367237	1.002897	1.412285
7.600000	2.373690	1.063916	1.465423
7.800000	2.376894	1.125191	1.518562
8.000000	2.376838	1.186550	1.571700
8.200000	2.376783	1.247910	1.571700
8.400000	2.379987	1.309185	1.518562
8.600000	2.386440	1.370204	1.465423
8.800000	2.396126	1.430794	1.412285
9.000000	2.409016	1.490784	1.359146
9.200000	2.425074	1.550005	1.306007
9.400000	2.444254	1.608289	1.252869
9.600000	2.466504	1.665472	1.199730
9.800000	2.491759	1.721393	1.146592
10.000000	2.519949	1.775893	1.093453
10.200000	2.550993	1.828820	1.040314
10.400000	2.584805	1.880022	0.987176
10.600000	2.621289	1.929357	0.934037
10.800000	2.660342	1.976684	0.880898
11.000000	2.701853	2.021870	0.827760
11.200000	2.745706	2.064787	0.774621
11.400000	2.791776	2.105315	0.721482
11.600000	2.839933	2.143338	0.668344
11.800000	2.890043	2.178750	0.615205
12.000000	2.941962	2.211451	0.562066
12.200000	2.995545	2.241348	0.508928
12.400000	3.050641	2.268356	0.455789
12.600000	3.107093	2.292400	0.402650
12.800000	3.164742	2.313412	0.349512
13.000000	3.223426	2.331332	0.296373
13.200000	3.282979	2.346110	0.243234
13.400000	3.343233	2.357704	0.190096
13.600000	3.404018	2.366081	0.136957
13.800000	3.465162	2.371218	0.083818
14.000000	3.526492	2.373101	0.030680
14.200000	3.587836	2.371722	-0.022459
14.400000	3.649019	2.367088	-0.075598
14.600000	3.709871	2.359211	-0.128736
14.800000	3.770218	2.348113	-0.181875
15.000000	3.829891	2.333825	-0.235014
15.200000	3.888720	2.316387	-0.288152
15.400000	3.946540	2.295850	-0.341291
15.600000	4.003188	2.272271	-0.394430
15.800000	4.058504	2.245716	-0.447568
16.000000	4.112330	2.216261	-0.500707
16.200001	4.164517	2.183989	-0.553846
16.400000	4.214916	2.148990	-0.606984
16.600000	4.263384	2.111363	-0.660123
16.799999	4.309786	2.071216	-0.713262
17.000000	4.353990	2.028660	-0.766400
17.200001	4.395871	1.983817	-0.819539
17.400000	4.435311	1.936813	-0.872678
17.600000	4.472199	1.887780	-0.925816
17.799999	4.506431	1.836857	-0.978955
18.000000	4.537910	1.784187	-1.032094
18.200001	4.566547	1.729921	-1.085232
18.400000	4.592261	1.674209	-1.138371
18.600000	4.614980	1.617211	-1.191510
18.799999	4.634639	1.559086	-1.244648
19.000000	4.651184	1.500000	-1.297787
19.200001	4.664566	1.440118	-1.350925
19.400000	4.674749	1.379609	-1.404064
19.600000	4.681705	1.318646	-1.457203
19.799999	4.685412	1.257398	-1.510341
20.000000	4.685861	1.196041	-1.563480
20.200001	4.686309	1.134683	-1.563480
20.400000	4.690017	1.073436	-1.510341
20.600000	4.696972	1.012472	-1.457203
20.799999	4.707155	0.951964	-1.404064
21.000000	4.720538	0.892082	-1.350925
21.200001	4.737082	0.832995	-1.297787
21.400000	4.756742	0.774871	-1.244648
21.600000	4.779460	0.717872	-1.191510
21.799999	4.805174	0.662161	-1.138371
22.000000	4.833811	0.607894	-1.085232
22.200001	4.865290	0.555225	-1.032094
22.400000	4.899522	0.504302	-0.978955
22.600000	4.936410	0.455269	-0.925816
22.799999	4.975850	0.408265	-0.872678
23.000000	5.017731	0.363422	-0.819539
23.200001	5.061935	0.320866	-0.766400
23.400000	5.108337	0.280719	-0.713262
23.600000	5.156806	0.243092	-0.660123
23.799999	5.207204	0.208093	-0.606984
24.000000	5.259391	0.175821	-0.553846
24.200001	5.313218	0.146365	-0.500707
24.400000	5.368533	0.119811	-0.447568
24.600000	5.425181	0.096231	-0.394430
24.799999	5.483001	0.075694	-0.341291
25.000000	5.541831	0.058257	-0.288152
25.200001	5.601503	0.043969	-0.235014
25.400000	5.661850	0.032871	-0.181875
25.600000	5.722702	0.024994	-0.128736
25.799999	5.783885	0.020359	-0.075598
26.000000	5.845229	0.018981	-0.022459
26.200001	5.967944	0.019990	0.008221
26.400000	6.090658	0.020999	0.008221
26.600000	6.213373	0.022008	0.008221
26.799999	6.336087	0.023017	0.008221
27.000000	6.458802	0.024025	0.008221
27.200001	6.581516	0.025034	0.008221
27.400000	6.704231	0.026043	0.008221
27.600000	6.826945	0.027052	0.008221
27.799999	6.949660	0.028061	0.008221
28.000000	7.072374	0.029070	0.008221
28.200001	7.195089	0.030078	0.008221
