#time	robot_x	robot_y	robot_q
0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000
0.500000	-0.000000	-0.000000	0.111072
1.000000	-0.000000	-0.000000	0.268152
1.500000	-0.000000	-0.000000	0.425231
2.000000	-0.000000	-0.000000	0.582311
2.500000	-0.000000	-0.000000	0.739391
3.000000	-0.000000	-0.000000	0.896470
3.500000	-0.000000	-0.000000	1.053550
4.000000	-0.000000	-0.000000	1.210629
4.500000	-0.000000	-0.000000	1.367709
5.000000	-0.000000	-0.000000	1.524789
5.500000	-0.000000	-0.000000	1.681869
6.000000	-0.000000	-0.000000	1.838948
6.500000	-0.000000	-0.000000	1.996028
7.000000	-0.000000	-0.000000	2.153108
7.500000	-0.000000	-0.000000	2.310187
8.000000	-0.000000	-0.000000	2.467267
8.500000	-0.000000	-0.000000	2.624347
9.000000	-0.000000	-0.000000	2.781426
9.500000	-0.000000	-0.000000	2.938506
10.000000	0.000000	-0.000000	3.095586
10.500000	0.000000	-0.000000	-3.030520
11.000000	0.000000	-0.000000	-2.873440
11.500000	0.000000	-0.000000	-2.716361
12.000000	0.000000	-0.000000	-2.559281
12.500000	0.000000	-0.000000	-2.402201
13.000000	0.000000	-0.000000	-2.245121
13.500000	0.000000	-0.000000	-2.088042
14.000000	0.000000	-0.000000	-1.930962
