#robot_x	robot_y	
#LWheel_x	LWheel_y	
#FWheel_x	FWheel_y	
#RWheel_x	RWheel_y	
#robot_x	robot_y

0.000000	0.000000
0.000000	0.375000
1.000000	0.000000
-0.000000	-0.375000
0.000000	0.000000

0.000000	0.000000
0.000000	0.375000
1.000000	0.000000
-0.000000	-0.375000
0.000000	0.000000

0.441081	0.053285
0.396106	0.425579
1.433863	0.173220
0.486057	-0.319008
0.441081	0.053285

0.859584	0.202441
0.733690	0.555677
1.801547	0.538159
0.985479	-0.150795
0.859584	0.202441

1.234941	0.440137
1.034315	0.756956
2.079791	0.975140
1.435568	0.123318
1.234941	0.440137

1.548705	0.754691
1.283207	1.019522
2.254922	1.462687
1.814204	0.489860
1.548705	0.754691

1.785456	1.130645
1.468133	1.330473
2.318332	1.976838
2.102778	0.930816
1.785456	1.130645

1.933558	1.549522
1.580007	1.674527
2.266906	2.492326
2.287110	1.424516
1.933558	1.549522

1.985734	1.990736
1.613329	2.034774
2.103170	2.983816
2.358139	1.946697
1.985734	1.990736

1.939418	2.432603
1.566462	2.393511
1.835172	3.427155
2.312375	2.471695
1.939418	2.432603

1.796888	2.853409
1.441709	2.733106
1.476082	3.800554
2.152067	2.973711
1.796888	2.853409

1.565147	3.232471
1.245201	3.036871
1.043548	4.085662
1.885094	3.428071
1.565147	3.232471

1.255586	3.551162
0.986596	3.289877
0.558827	4.268467
1.524575	3.812446
1.255586	3.551162

0.883416	3.793818
0.678603	3.479690
0.045741	4.339987
1.088230	4.107946
0.883416	3.793818

0.466930	3.948515
0.336359	3.596981
-0.470494	4.296704
0.597501	4.300049
0.466930	3.948515

0.026594	4.007649
-0.023318	3.635985
-0.964508	4.140748
0.076507	4.379313
0.026594	4.007649

-0.415949	3.968315
-0.382750	3.594787
-1.412023	3.879782
-0.449149	4.341842
-0.415949	3.968315

-0.838952	3.832445
-0.724272	3.475411
-1.791044	3.526632
-0.953633	4.189480
-0.838952	3.832445

-1.221626	3.606718
-1.031102	3.283724
-2.082945	3.098653
-1.412151	3.929713
-1.221626	3.606718

-1.545164	3.302226
-1.288159	3.029145
-2.273380	2.616878
-1.802170	3.575307
-1.545164	3.302226

-1.793666	2.933934
-1.482810	2.724187
-2.352991	2.104985
-2.104521	3.143681
-1.793666	2.933934

-1.954918	2.519942
-1.605489	2.383837
-2.317863	1.588131
-2.304347	2.656046
-1.954918	2.519942

