#robot_x	robot_y	
#LWheel_x	LWheel_y	
#FWheel_x	FWheel_y	
#RWheel_x	RWheel_y	
#robot_x	robot_y

0.000000	0.000000
0.000000	0.375000
1.000000	0.000000
-0.000000	-0.375000
0.000000	0.000000

0.000000	0.000000
0.000000	0.375000
1.000000	0.000000
-0.000000	-0.375000
0.000000	0.000000

0.122718	0.000000
0.122718	0.375000
1.122718	0.000000
0.122718	-0.375000
0.122718	0.000000

0.245437	0.000000
0.245437	0.375000
1.245437	0.000000
0.245437	-0.375000
0.245437	0.000000

0.368155	0.000000
0.368155	0.375000
1.368155	0.000000
0.368155	-0.375000
0.368155	0.000000

0.490874	0.000000
0.490874	0.375000
1.490874	0.000000
0.490874	-0.375000
0.490874	0.000000

0.613592	0.000000
0.613592	0.375000
1.613592	0.000000
0.613592	-0.375000
0.613592	0.000000

0.736311	0.000000
0.736311	0.375000
1.736311	0.000000
0.736311	-0.375000
0.736311	0.000000

0.859029	0.000000
0.859029	0.375000
1.859029	0.000000
0.859029	-0.375000
0.859029	0.000000

0.981748	0.000000
0.981748	0.375000
1.981748	0.000000
0.981748	-0.375000
0.981748	0.000000

1.104466	0.000000
1.104466	0.375000
2.104466	0.000000
1.104466	-0.375000
1.104466	0.000000

1.227185	0.000000
1.227185	0.375000
2.227185	0.000000
1.227185	-0.375000
1.227185	0.000000

1.288515	0.001882
1.277012	0.376706
2.288044	0.032557
1.300018	-0.372941
1.288515	0.001882

1.349659	0.007019
1.318264	0.380703
2.346148	0.090739
1.381054	-0.366664
1.349659	0.007019

1.410443	0.015397
1.359245	0.386885
2.401079	0.151926
1.461642	-0.356092
1.410443	0.015397

1.470697	0.026991
1.399840	0.395235
2.452683	0.215943
1.541555	-0.341254
1.470697	0.026991

1.530250	0.041768
1.439934	0.405730
2.500814	0.282611
1.620566	-0.322193
1.530250	0.041768

1.588934	0.059689
1.479414	0.418339
2.545336	0.351742
1.698454	-0.298962
1.588934	0.059689

1.646584	0.080700
1.518169	0.433028
2.586124	0.423139
